"Trt","Plot","x1","x2","x3"
"F1",1,0.227639583620366,0.828066258339513,0.860972376278153
"F1",2,0.35989139102932,1.07475835078982,1.21553647022561
"F1",3,0.257151669939522,0.82182816704917,0.985977193915731
"F1",4,0.292604783559209,1.06074996606793,0.900824427377565
"F1",5,0.179330517367957,0.279936788649284,1.23129304092754
"F1",6,0.356188635371442,1.69053994208154,0.580311037464154
"F2",7,0.262938569065639,1.24443107506251,0.58762418484817
"F2",8,0.547092124597619,2.68952956867324,0.834926686777024
"F2",9,0.276440247209953,1.04538632847478,0.844519860410486
"F2",10,0.157009658261237,0.704314692294364,0.731206665218343
"F2",11,0.148924807149214,NA,0.49090703752074
"F2",12,0.333258186689253,1.1917358491405,0.962326087983795
"F3",13,0.155509353668024,0.632198002747308,0.798372788826129
"F3",14,0.160838356707916,0.989748498637812,0.458484226076951
"F3",15,0.278441364754537,1.37147773830159,0.527156746836176
"F3",16,0.194795688277124,1.00855539690779,0.557458776141951
"F3",17,0.220480252784967,1.26732872386279,0.39409440786974
"F3",18,0.0732381336760914,0.919188062234815,0.26450236032573
"F4",19,0.311169672681057,1.46040411906793,0.586840190688608
"F4",20,0.254911420597239,1.58117225173584,0.217331800194979
"F4",21,0.150208022874107,NA,0.576169611946162
"F4",22,0.292131187185394,1.62306097350299,0.336375496920026
"F4",23,0.136307024906117,0.97689565429652,0.39180043038411
"F4",24,0.334446999833546,1.56871825705035,0.591248164967859
"F5",25,0.28506853995622,1.58218660204955,0.345642535358251
"F5",26,0.280887705257929,1.53753744254737,0.371822052539742
"F5",27,0.236167332305672,0.995259691764394,0.727272441623893
"F5",28,0.370105744535939,1.66986469529991,0.674934975924847
"F5",29,0.396462249396564,1.61420056590666,0.877307224169179
"F5",30,0.187433554295193,1.26798384950033,0.271707090613223
